SOYA CAPPUCCINO REGULAR,105,
SOYA CAPPUCCINO KING,110,
CAPPUCCINO REGULAR,91,
CAPPUCCINO KING,105,
HOT VELVET COFFEE,91,
CAFE LATTE REGULAR,95,
CAFE LATTE KING,105,
INVERTED CAPPUCCINO,91,
LEMON GREEN COFFEE,86,
FLAT WHITE,91,
CAFE AMERICANO STANDARD,91,
CAFE AMERICANO STRONG,91,
FILTER COFFEE,86,
HONEY CINNAMON COFFEE,86,
ESPRESSO,81,
CAFE MOCHA,100,
ESPRESSO SHOT,35,
TEA BAG (ASSAM/GREEN/DARJEELING),30,
VANILLA LATTE REGULAR,100,
VANILLA LATTE KING,110,
VANILLA CAPPUCCINO REGULAR,95,
VANILLA CAPPUCCINO KING,110,
TANGERINE WHITE CHOCOLATE CAPPUCCINO REGULAR,95,
TANGERINE WHITE CHOCOLATE CAPPUCCINO KING,105,
TURMERIC GINGER CAPPUCCINO REGULAR,95,
TURMERIC GINGER CAPPUCCINO KING,105,
GOURMET BELGIAN HOT CHOCOLATE ,100,
HOME-STYLE GINGER TEA,72,
HOME-STYLE CARDAMOM TEA,72,
ASSAM TEA,72,
GREEN TEA,72,
HOT CHAI LATTE,72,
DARJEELING TEA,72,
TANGERINE WHITE CHOCOLATE ICED COFFEE,115,
ICED FILTER COFFEE,110,
ICED CAPPUCCINO,110,
ICED LATTE,110,
ICED MOCHA,110,
ICED AMERICANO,114,
WATERMELON MOJITO,95,
PEACH ICED TEA,95,
CLASSIC LEMONADE,114,
WATERMELON GRANITA,114,
LEMON ICED TEA,95,
CROISSANT,72,
GRILLED SAUSAGE CROISSANT SLIDERS,114,
CHOCOLATE CROISSANT,91,
LEMON POPPYSEED CAKE,86,
CHOCOLATE MUFFIN,67,
CLASSIC GARLIC BREAD,53,
TANDOORI PANEER BUN,98,
CHILLI CHEESE TOAST ,57,
SPINACH 'N' CORN GARLIC BREAD,62,
CHEESE TOMATO CROISSANT SLIDERS,109,
DARK FRAPPE,129,
TANGERINE WHITE CHOCOLATE FRAPPE,129,
CRUNCHY FRAPPE,129,
CAFE FRAPPE,119,
DEVIL'S OWN,138,
ALPHONSO MANGO FRAPPE,129,
GOURMET BELGIAN COLD CHOCOLATE,124,
TROPICAL ICEBERG,110,
VEGAN SHAKE,110,
SIGNATURE COLD COFFEE,115,
LEMON GREEN COFFEE,91,
ICED CHAI LATTE,81,
COLD VELVET COFFEE,115,
ICE CREAM VANILLA FLAVOUR ,29,
WHIPPED CREAM,30,
COCOA TOPPING,30,
CHOCOLATE NIRVANA SUNDAE,119,
CLASSIC HOT FUDGE SUNDAE ,95,
WHAT A FUDGE SUNDAE,95,
MERRY BERRY SUNDAE ,114,
VANILLA ICE CREAM SCOOPS,48,
CARAMEL ME SUNDAE ,114,
COLOCOLATE ICE CREAM SCOPPS,48,
GOOEY FUDGY BROWNIE SUNDAE,119,
CLASSIC NEW YORK CHEESECAKE,124,
SIGNATURE CHOCO FANTASY,95,
RED VELVET HEAVEN,109,
HAZELNUT BROWNIE,86,
STRAWBELIOUS CHHESECAKE,138,
RED VELVET CAKE,400,
BUTTERSCOTCH CRUNCH CAKE,350,
DUTCH TRUFFLE CAKE,350,
TANDOORI CHICKEN BUN,98,
SMOKED CHICKEN GARLIC BREAD,80,
TANDOORI CHICKEN SANDWICH,98,
SMOKED CHICKEN SANDWICH,98,
CHUTNEY CHEESE BUN,76,
PANEER TIKKA SANDWICH,98,
SPINACH CORN AND CHEESE SANDWICH,86,
CHEESE SLICE,21,
SINGLE CROISSANT,50,
SINGLE CHOCOLATE CROISSANT,65,
SINGLE CHEESE AND TOMATO CROISSANT,65,
SINGLE GRILLED SAUSAGE CROISSANT,67,
,,
,,
,,
,,
,,
,,
