Grape Juice ,29
Pineapple Juice,29
Cucumber,17
Orange,33
Carrot,36
Beetroot,29
Sweetlime ,31
Watermelon,20
Tomato,21
LIME 'O' HONEY,23
LIME MINT COOLER,17
GRAPE LIME,17
PINEAPPLE LIME,17
LIME GINGER,17
JALJEERA LIME,17
FRESH LIME,14
ILAICHI LIME,17
CUCUMBER LIME MINT,26
AMLA HONEY,33
JALJEERA SODA,21
LIME SODA,19
LIME MINT SODA,23
NANNAARI SODA,26
GREEN MANGO,33
BANANA STEM,26
MANGO WITH GUAVA,42
VANILA,42
STRAWBERRY,42
PISTA,51
CHOCOLATE,51
BUTTER SCOTCH,51
MANGO,51
BLACK CURRANT,51
COFFEE,57
KULFI,64
FRUIT SALAD,38
FRUIT SALAD ICE CREAM,57
ROYAL FALOODA,71
KULFI FALOODA,76
KIWI FALOODA,76
DRY FRUIT FALOODA,95
JACK FALOODA,113
SPECIAL TOOTY FRUITY,71
BANANA SPLIT,76
BROWNIE CAKE WITH ICE CREAM,76
KIWI NEWZELAND,61
PRUNES CALIFORNIA,71
JUGHEAD SPECIAL,71
PEANUT BUTTER,59
INDIAN SPECIAL,61
COLONEL CUSTARD,57
SHARJAH SHAKE,42
COLD BOOST,48
CAFE MOCH (COFFEE),48
HORLICKS SHAKE,48
CHOCO CHIKKU,42
CHIKKU CHOCOLATE,57
APPLE SCOTCH,61
FRUIT BONANZA,61
MANGO BONANZA,57
CHOCO BANANA,48
CHIKKU N HONEY,57
BANANA COFFEE SHAKE,48
CARROT ALMOND,76
PLEASURE SMOOTHIE ,71
RUMBLE SMOOTHIE ,67
BLACK SMOOTHIE ,71
RED BLAST SMOOTHIE,71
EXOTICA SMOOTHIE ,71
CARROT SMOOTHIE,71
HAPPY DRINK SMOOTHIE,71
JACKFRUIT SMOOTHIE,76
STRAWBERRY SMOOTHIE ,76
CUSTARD SMOOTHIE ,76
CHIKKU SMOOTHIE ,76
KIWI SALAD,76
POMEGRANATE SEEDS,61
PINEAPPLE SALAD ,48
KIWI WITH CREAM ,94
STRAWBERRY W CREAM ,94
MIX FRUIT WITH CREAM,94
MANGO WITH CREAM ,94
STRAWBERRY MILKSHAKE,48
APPLE MILKSHAKE,38
ANJEER ALMOND MILKSHAKE,44
MANGO MILKSHAKE,38
ALPHONSO MANGO PULP MILKSHAKE,42
CHIKKU MILKSHAKE,38
POMEGRANATE MILKSHAKE,38
CUSTARD APPLE MILKSHAKE,48
JACKFRUIT MILKSHAKE,57
BUTTER FRUIT MILKSHAKE,57
BANANA DATES MILKSHAKE,48
FIG DATES MILKSHAKE,57
BANANA MILKSHAKE,29
RED BANANA MILKSHAKE,41
PAPPAYA MILKSHAKE,29
JAMUN MILKSHAKE,57
ROSE MILK MILKSHAKE,23
BADAM MILK MILKSHAKE,23
PISTA MILK MILKSHAKE,23
MUSK MELON MILKSHAKE,33
STAR FRUIT MILKSHAKE,42
AVIL MILK MILKSHAKE,42
AVIL MILK MILKSHAKE(SPECIAL),53
AVOCADO AVIL MILK MILKSHAKE,67
FRUIT PUNCH MILKSHAKE,57
BROWNIE MILKSHAKE,56
OREO MILKSHAKE,55
KITKAT MILKSHAKE,55
DIARY MILK MILKSHAKE,56
SNICKERS MILKSHAKE,56
FERRERO ROCHER MILKSHAKE,132
WATERMELON MOJITTO,46
BLUE MOJITTO,46
MINT MOJITTO,46
MORNING ENERGIZER,56
DETOX,56
SKIN GLOW,56
VITAMIN BOOM,56
POWER PUNCH,56
PAIN REDUCER,56
POWER BOOSTER,56
SUPER ACTIVE,56
KIWI COOLER,71
RED HEAD,57
MANGO SURPRISE,61
SPICY ORANGE,56
BREAK FAST PICK ME,56
APPLE CIDER,56
FLOSBERY FLOOPY,56
THE INDIAN COCKTAIL,56
STRAWBERRY COOLER,56
SLIM TRIM,56
CUCUMBER COOLER,52
MOOD ATTACK,57
JUICE GINGER ALE,67
BOOSTER SHOT,52
RED ZINGER,45
KIWI WITH APPLE,67
POMO COOLER,56
GUAVA MELON,48
KIWI MELON,67
COLD SOLVER,52
WATERMELON COOLER,23
PLAIN LASSI,33
MANGO LASSI,42
CHIKKU LASSI,42
STRAWBERRY LASSI,52
BANANA LASSI,38
PINEAPPLE LASSI,42
MINT LASSI,42
ROMANTIC BLUES,67
ARABIAN NIGHT,52
BANANA  BOONE,61
MILK MAGIC,52
FIG 'O' HONEY,57
GRIMSON DELITE,64
COCKTAIL,64
OLD BOY (STRAWBERRY),67
MUSK 'N' HONEY,48
ESKIMOS CHOICE ,57
PAPAYA 'N' STRAWBERRY ,67
CHUNKY MONKEY SHAKE ,67
