Item Name,Price 
Tea,10
Black Tea,9
Black Coffee,12
Milk / Filter Coffee,13
Green Tea / Lemon Tea,12
Dry Ginger (Sukku) Coffee without Milk,15
Horlicks,15
Boost,15
Complan,15
Bournvita,15
Badaam Milk / Raagimalt,15
Veg Puff,13
Egg Puff,16
Chicken Puff,20
Paneer Puff,20
Mushroom Puff,20
Chenna Puff,20
Chicken Roll,23
Paneer Roll,23
Veg Roll,22
Plain Cake,13
Honey Cake,16
Chocolate Roll Cake,16
Strawberry/Pista Roll,16
Brownie Cake,22
Pineapple Cake,22
Cream Bun,15
Jam Bun,15
Coconut Bun,15
Bun Butter Jam,15
Honey Bun,18
Plain maggi,25
Veg Maggi,28
Veg Cheese Maggi,38
Plain Cheese Maggi,35
Plain Boiled Egg,10
Boiled Egg with Onion,12
Bread Roast 2pcs,18
Cheese Roast ,30
Veg Sadwich,28
Veg Cheese Sandwich,40
Egg Sandwich,33
Egg Cheese Sandwich,43
Medu Vadai,10
Masala Vadai,10
Keera Vadai(Spinach),10
Onion Vadai,10
Aloo Vadai,10
Veg Vadai,10
Aloo Bonda,10
Onion Bonda,10
Banana Bajji,10
Chilli Bajji,10
Potato Bajji,10
Onion Bajji,10
Bread Bajji,10
Onion Samosa,10
Mini Onion Samosa,15
Coconut Boli,15
Dhall Roll,15
White Rice Puttu,15
Brown Rice Puttu,15
Ragi Semiya Puttu,15
Ragi Maavu Puttu,15
Wheat Puttu,15
Rava Puttu,15
Kaara Paniyaram (3 pc's),12
Peanut Sundal,16
Black Chenna,16
White Chenna,16
Black/White Kaaramani,16
White/ Green Peas,16
,
