SWEET CORN VEG,40,
SWEET CORN CHICKEN,45,
MIX VEG,40,
TOMATO SOUP,40,
HOT 'N' SOUR VEG,40,
HOT 'N' SOUR CHICKEN,45,
GREEN SALAD,25,
ONION SALAD,25,
TOMATO SALAD,25,
RUSSIAN SALAD,45,
CHICKEN HAWAIIAN SALAD,50,
DARJEELING SALAD,40,
DRY FRY CHICKEN,89,
CHICKEN 65,89,
CHICKEN WINGS,89,
DRAGON CHICKEN,89,
CHILLY CHICKEN,89,
CHILLY CHICKEN ROASTED,89,
HONEY CHILLY CHICKEN,89,
CHICKEN MANCHURIAN,89,
CHICKEN LOLLYPOP,89,
PEPPER CHICKEN,89,
GARLIC CHICKEN,89,
GINGER CHICKEN,89,
GOBI MANCHURIAN,60,
GOBI CHILLY,60,
GOBI 65,60,
CRISPY CAULIFLOWER,60,
CRISPY FRIED VEG,60,
CHILLY MUSHROOM DRY,80,
MANCHURIAN MUSHROOM DRY,80,
MANCHURIAN BABY CORN,80,
CHILLY BABY CORN,80,
PEPPER MUSHROOM BABY CORN,80,
CHILLY PANEER,88,
MANCHURIAN PANEER,88,
ALOO TANDOORI,65,
PANEER TIKKA,88,
PANEER HARIYALI TIKKA,88,
PANEER 65,88,
GOBI TANDOORI,60,
ALOO GOBI TANDOORI,60,
MUSHROOM TIKKA,85,
MUSHROOM PEPPER FRY,85,
TANDOORI ROTI,15,
BUTTER ROTI,20,
NAAN,19,
BUTTER NAAN,22,
GARLIC NAAN,25,
PUDINA NAAN,25,
ALOO PARATHA,28,
BUTTER PARATHA,25,
MASALA KULCHA,28,
ALOO KULCHA,28,
KULCHA,19,
GOBI PARATHA,28,
BUTTER KULCHA,22,
KERALA PARATHA,15,
CHAPATI,13,
EGG PARATHA,32,
CHICKEN KADAI,80,
CHICKEN MASALA,78,
CHICKEN BUTTER MASALA,90,
CHCIKEN MAKHANI,90,
CHICKEN HYDERABADI,80,
CHCIKEN CHETTINADU,80,
CHICKEN TIKKA MASALA,95,
CHICKEN PUNJABI,78,
CHICKEN CHUKKA,78,
CHICKEN PEPPER CHUKKA,78,
CHICKEN PEPPER MASALA,78,
CHICKEN MUGHLAI,80,
MIX VEG CURRY,48,
ALOO GOBI,53,
ALOO MUTTER,53,
ALOO PALAK,53,
ALOO JEERA (DRY),48,
PANEER MASALA,74,
PANEER BUTTER MASALA,74,
PALAK PANEER,74,
VEG CHETTINADU,65,
BHINDI MASALA,48,
PANEER HARIYALI,74,
MUSHROOM MASALA,74,
MUSHROOM PEPPER MASALA,74,
PANEER KADAI MASALA,79,
PANEER MUTTER,72,
GREENPEAS MASALA,53,
GOBI MASALA,48,
CHANA MASALA,55,
DAL FRY,45,
DAL TADKA,48,
DAL MAKHANI,55,
DAL BUKHARA,55,
RAJMA,55,
VEG LAHORI,60,
VEG KOLHAPURI,60,
EGG MASALA,48,
BOILED EGG,20,
EGG BURJI,33,
OMELETTE,20,
EGG ROAST,45,
TANDOORI CHICKEN (FULL),290,
TANDOORI CHICKEN (HALF),150,
CHICKEN TIKKA,120,
CHICKEN LASOONI KEBAB,120,
CHICKEN KALI MIRCH KEBAB,120,
CHICKEN ACHARI KEBAB,120,
CHICKEN PUDINA TIKKA,120,
CHICKEN KALMI KEBAB,120,
CHICKEN HARIYALI KEBAB,120,
CHICKEN RESHMI KEBAB,125,
